"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,11 Dec 2022 04:00:00 to 12 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
6040355,,VALE ALE TROPICAL CANS SGL,,,,,6,
,,,,,,,,
,,-1.94  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6040802,,TERELLA LAGER CAN SGL,,,,,8.5,
,,,,,,,,
,,-2.75  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6040710,,BLACK HOPS ECOAST HAZY CAN SGL,,,,,7.5,
,,,,,,,,
,,-2.42  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
,,,,,,,,
6040912,,CAPITAL BREW XPA CAN SGL,,,,,7.5,
,,,,,,,,
,,-2.42  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6040933,,BRIGHT MIA IPA CAN SGL,,,,,7.5,
,,,,,,,,
,,-2.42  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6400211,,BB SAMMYS SAUV BLANC,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,2,,23.98,
421,,-3.98  MASTERPEACE 2 FOR 20,,,,,,
,,,,,,,,6041057
,,-6.47  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
,,SKIRMISH/BSHOP,,,,,-21.01,
,,,,,,,,
421,,MASTERPEACE 2 FOR 20,,,,,-3.98,
,,,,,,,,
,,GST Subtotal,,,,,43.99,
,,,,,,,,
,,GST Amount,,,,,4,
,,,,,,,,
,,EFTPOS,,,,,43.99,
,,,,,,,,
,,,,,,,,
2022-12-11 11:15:22,,,202.0,191560,TODD K,,,
,,,,,,,,
6440011,,MCWILL DRY SHERRY 750ML,,,,,8.99,
,,,,,,,,
6440011,,MCWILL DRY SHERRY 750ML,,,,,8.99,
,,,,,,,,
,,GST Subtotal,,,,,17.98,
,,,,,,,,
,,GST Amount,,,,,1.6300000000000001,
,,,,,,,,
,,EFTPOS,,,,,17.98,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-11 11:23:07,,,202.0,191561,TODD K,,,6311270
,,,,,,,,
6400063,,HOUGHTON WHITE CLASSIC,,,,,13.99,
,,,,,,,,
,,ROUNDING,,,,,0.01,
,,,,,,,,
,,GST Subtotal,,,,,13.99,
,,,,,,,,
,,GST Amount,,,,,1.27,
,,,,,,,,
,,CASH,,,,,20,
,,,,,,,,
,,Change,,,,,6,
,,,,,,,,
,,,,,,,,
2022-12-11 11:25:19,,,202.0,191562,TODD K,,,
,,,,,,,,
,,,,,,,,
6310101,,BUNDY RED/COLA CAN 6PK,,,,,29.990000000000002,
,,,,,,,,
8884,,-5.00  BUNDY 6PKS $24.99,,,,,,
,,,,,,,,
8884,,BUNDY 6PKS $24.99,,,,,-5,
,,,,,,,,
,,GST Subtotal,,,,,24.990000000000002,
,,,,,,,,
,,GST Amount,,,,,2.27,
,,,,,,,,
,,EFTPOS,,,,,24.990000000000002,
,,,,,,,,
,,,,,,,,
2022-12-11 11:28:31,,,202.0,191563,TODD K,,,
,,,,,,,,
,,,,,,,,
6020020,,XXXX GOLD STUB EA,,,,,4,
,,,,,,,,
,,GST Subtotal,,,,,4,
,,,,,,,,
,,GST Amount,,,,,0.36,
,,,,,,,,
VOID,,,,,,,,
