"
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,01 Dec 2022 04:00:00 to 02 Dec 2022 03:59:59,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
,,-4.27  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6040502,,BROUHAHA H/LAND PALE CAN SGL,,,,,8,
,,,,,,,,
,,-4.27  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
,,,,,,,,
6040619,,BLACKFLAG ASTRO PUNK CAN SGL,,,,,8,
,,-4.27  SKIRMISH/BSHOP,,,,,,6410554
,,,,,,,,
6040578,,10 TOES IPA CAN SGL,,,,,9.5,
,,-5.07  SKIRMISH/BSHOP,,,,,,6400400
,,,,,,,,
6040980,,CAPITAL BREW ROCK IPA CAN SGL,,,,,8,
,,-4.27  SKIRMISH/BSHOP,,,,,,6410553
,,,,,,,,
6040502,,BROUHAHA H/LAND PALE CAN SGL,,,,,8,
,,-4.27  SKIRMISH/BSHOP,,,,,,6400401
,,,,,,,,
6040619,,BLACKFLAG ASTRO PUNK CAN SGL,,,,,8,
,,-4.30  SKIRMISH/BSHOP,,,,,,8597
,,,,,,,,
,,SKIRMISH/BSHOP,,,,,-55.02,
,,GST Subtotal,,,,,47.980000000000004,
,,GST Amount,,,,,4.36,
,,EFTPOS,,,,,47.980000000000004,
,,,,,,,,
2022-12-01 13:26:04,,,201.0,614400.0,TODD K,,,
,,,,,,,,
,,,,,,,,
6311135,,SUNTORY 196 LEMON 6% CAN 10PK,,,,,46.99,
6348,,-7.09  P47 1 FOR $39.90,,,,,,6030054
6348,,P47 1 FOR $39.90,,,,,-7.09,
,,GST Subtotal,,,,,39.9,
,,GST Amount,,,,,3.63,
,,EFTPOS,,,,,39.9,
,,,,,,,,
,,,,,,,,
2022-12-01 13:27:18,,,201.0,614401.0,TODD K,,,
,,,,,,,,6410554
,,,,,,,,
6210108,,BUNDY UP RUM 700ML,,,,,44.99,
,,,,,,,,
6205,,-2.99  P47 1 FOR $42.00,,,,,,6410553
,,,,,,,,
6205,,P47 1 FOR $42.00,,,,,-2.99,
,,,,,,,,
,,GST Subtotal,,,,,42,
,,GST Amount,,,,,3.8200000000000003,
,,CASH,,,,,60,
,,Change,,,,,18,
,,,,,,,,
,,,,,,,,
2022-12-01 13:29:17,,,201.0,614402.0,TODD K,,,
,,,,,,,,6020035
6510082,,SPRING VALLEY ORANGE 1.25LTR,,,,,6.5,
,,GST-Free Subtotal,,,,,6.5,
,,GST-Free Amount,,,,,0,
,,CASH,,,,,6.5,
,,,,,,,,
,,,,,,,,
2022-12-01 13:31:34,,,201.0,614403.0,TODD K,,,
,,,,,,,,6310097
6020013,,XXXX GOLD 750ML 3 FOR,,,,,19,
,,GST Subtotal,,,,,19,
,,GST Amount,,,,,1.73,
,,EFTPOS,,,,,11,
,,,,,,,,
2022-12-01 13:47:12,,,202.0,189519.0,TODD K,,,
,,,,,,,,
6400223,,TEMPUS TWO SAUV BLANC,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,2,,33.980000000000004,
6206,,-7.98  P47 1 FOR $13.00,,,,,,
6400401,,BERTON METAL SAUV BLANC,,,,,13.99,
8597,,-2.99  BERTON METAL 2 FOR $22,,,,,,6235
6400401,,BERTON METAL SAUV BLANC,,,,,13.99,
8597,,-2.99  BERTON METAL 2 FOR $22,,,,,,
6400297,,TWO TRUTHS SAUV BLANC,,,,,11.99,
8390,,-1.99  P47 1 FOR $10.00,,,,,,
6400297,,TWO TRUTHS SAUV BLANC,,,,,11.99,
,,,,,,,,
8390,,-1.99  P47 1 FOR $10.00,,,,,,
,,,,,,,,
8597,,BERTON METAL 2 FOR $22,,,,,-5.98,
,,,,,,,,
6206,,P47 1 FOR $13.00,,,,,,
,,,,,,,,
,,,,,2,,-7.98,
,,,,,,,,
8390,,P47 1 FOR $10.00,,,,,,
,,,,,,,,
,,,,,2,,-3.98,
,,,,,,,,
,,GST Subtotal,,,,,68,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,6.18,
,,,,,,,,
,,EFTPOS,,,,,68,
,,,,,,,,
,,,,,,,,
2022-12-01 13:48:30,,,202.0,189520.0,TODD K,,,
,,,,,,,,
6210510,,PATRON ANEJO 700ML,,,,,106.99000000000001,
,,,,,,,,
5805,,-6.99  P43 1 FOR $100.00,,,,,,
,,,,,,,,
,,,,,,,,
5805,,P43 1 FOR $100.00,,,,,-6.99,
,,,,,,,,
,,GST Subtotal,,,,,100,
,,,,,,,,
,,GST Amount,,,,,9.09,
,,,,,,,,
,,EFTPOS,,,,,100,
,,,,,,,,
,,,,,,,,
2022-12-01 13:49:03,,,202.0,189521.0,TODD K,,,
,,,,,,,,
NS1,,NO SALE,,,,,0,
,,,,,,,,
,,,,,,,,
2022-12-01 13:50:28,,,202.0,189522.0,TODD K,,,
,,,,,,,,8368
